category,target,k,features,R2,Q2,RMSE,CV,equation
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,LUMO|Ar_NBO_C1_x|Ar_I_C=O|L_C1-C2|Occupancy_C1-O,0.730459069652313,0.42592916240936074,0.28001135975017427,LOOCV,ln(kobs)_MeCN = -82.74 + 17.11*LUMO + 59.28*Ar_NBO_C1_x + 0.00*Ar_I_C=O - 19.74*L_C1-C2 + 31.79*Occupancy_C1-O
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|HOMO|polarizability|Occupancy_C1-O|Occupancy_C1-C2,0.7596393332154947,0.42536608500221984,0.2644204190033156,LOOCV,ln(kobs)_MeCN = 197.62 - 44.60*Ar_NBO_=O + 6.29*HOMO - 0.00*polarizability - 156.38*Occupancy_C1-O + 44.58*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_v_C=O|Ar_NBO_-O|Ar_NBO_C1_x|L_C1-C2|Ar_NBO_C2_x,0.8877708791600771,0.4252869316516874,0.18068249102390985,LOOCV,ln(kobs)_MeCN = -127.84 - 0.10*Ar_v_C=O - 123.87*Ar_NBO_-O - 5.78*Ar_NBO_C1_x + 155.06*L_C1-C2 - 9.11*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|HOMO|Ar_NBO_-O|Ar_NBO_C1_x,0.7299887383929935,0.42512722197962727,0.2802555540070881,LOOCV,ln(kobs)_MeCN = -23.75 - 34.98*Ar_NBO_=O + 9.90*HOMO + 24.85*Ar_NBO_-O + 27.11*Ar_NBO_C1_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,HOMO|LUMO|Ar_I_C=O|dipole moment,0.647551736762285,0.42506718883189976,0.3201923683186046,LOOCV,ln(kobs)_MeCN = 4.25 + 16.40*HOMO + 6.54*LUMO - 0.00*Ar_I_C=O - 0.11*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|HOMO|Entry|Occupancy_C1-O|Occupancy_C1-C2,0.7591366893297063,0.42488135460251475,0.26469675351347244,LOOCV,ln(kobs)_MeCN = 203.30 - 45.07*Ar_NBO_=O + 4.40*HOMO + 0.00*Entry - 160.77*Occupancy_C1-O + 45.62*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|HOMO|LUMO|Ar_NBO_C1_x|Ar_NBO_C2_x,0.8591499010177122,0.42480347053650447,0.20241461523079543,LOOCV,ln(kobs)_MeCN = -43.67 - 5.03*Ar_NBO_=O + 8.23*HOMO + 12.04*LUMO + 51.97*Ar_NBO_C1_x - 2.77*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|LUMO|Ar_NBO_C1_x|Ar_I_C=O,0.7378091911934611,0.42453910638719994,0.2761671516162386,LOOCV,ln(kobs)_MeCN = -45.14 - 19.19*Ar_NBO_=O + 14.42*LUMO + 40.47*Ar_NBO_C1_x + 0.00*Ar_I_C=O
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|Ar_NBO_-O|Ar_NBO_C1_x|Occupancy_C1-O|dipole moment,0.753054573607,0.4244894120971239,0.2680178892264321,LOOCV,ln(kobs)_MeCN = -148.62 - 95.91*Ar_NBO_=O + 102.02*Ar_NBO_-O + 19.44*Ar_NBO_C1_x + 73.08*Occupancy_C1-O - 0.14*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|Ar_NBO_-O|Ar_NBO_C1_x|Entry|polarizability,0.7828366882620412,0.42393160895053394,0.2513370521239831,LOOCV,ln(kobs)_MeCN = -24.22 - 77.35*Ar_NBO_=O + 72.72*Ar_NBO_-O + 33.97*Ar_NBO_C1_x + 0.03*Entry - 0.00*polarizability
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,2,Ar_NBO_=O|HOMO,0.6524540952268119,0.4235382378563446,0.31795772194475863,LOOCV,ln(kobs)_MeCN = -19.69 - 34.85*Ar_NBO_=O + 8.58*HOMO
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|Ar_NBO_C1_x|Occupancy_C1-O|dipole moment,0.7002799259122964,0.42297000431397036,0.2952712785999104,LOOCV,ln(kobs)_MeCN = -307.89 - 53.29*Ar_NBO_=O + 23.10*Ar_NBO_C1_x + 128.39*Occupancy_C1-O - 0.07*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|HOMO|L_C1-C2|Ar_NBO_C2_x|Occupancy_C1-C2,0.8555498229210002,0.42296167818069763,0.20498511613983858,LOOCV,ln(kobs)_MeCN = -192.49 - 87.29*Ar_NBO_=O + 0.50*HOMO + 80.88*L_C1-C2 - 7.06*Ar_NBO_C2_x + 8.83*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,HOMO|polarizability|Occupancy_C1-O|dipole moment|Occupancy_C1-C2,0.6698780051690969,0.4228310622861401,0.30988497481333604,LOOCV,ln(kobs)_MeCN = 376.49 + 18.09*HOMO - 0.00*polarizability - 212.89*Occupancy_C1-O - 0.10*dipole moment + 26.56*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,3,Ar_NBO_=O|Ar_I_C=O|dipole moment,0.6615112828055119,0.42278153488922154,0.313787318224198,LOOCV,ln(kobs)_MeCN = -31.54 - 49.55*Ar_NBO_=O + 0.00*Ar_I_C=O - 0.13*dipole moment
