k,features,R2,Q2,RMSE,sampled
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_I_C=O,0.9689269956598215,0.9365783168359095,0.32797783694696786,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar2_I_C=O|sum_enthalpy_hartree,0.9882684676132254,0.9364735470482365,0.20152561093437787,0
5,Ar1_LUMO|prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2,0.9722679655107616,0.9360907845963956,0.30984446349108447,0
5,Ar1_LUMO|Ar2_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9885437323630937,0.936089103373988,0.19914731247904977,0
5,Ar1_v_C=O|Ar2_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O|sum_enthalpy_hartree,0.9751671374349352,0.9357446276304936,0.29320155344401755,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_HOMO|Ar1_I_C=O,0.9689178269833233,0.9355759485012922,0.32802622140407217,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_HOMO|Ar1_I_C=O|sum_enthalpy_hartree,0.986198068243994,0.935317485582992,0.21858623631185936,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Entry|sum_enthalpy_hartree,0.9776896410239703,0.9351727618865195,0.2779112666047238,0
5,prod_homo_hartree|Ar2_v_C=O|Ar1_HOMO|Ar2_I_C=O|Ar1_I_C=O,0.9855635419622523,0.9351464474371503,0.22355438909223035,0
5,Ar2_v_C=O|Ar1_NBO_-O|Ar1_NBO_C2|Ar2_I_C=O|ar2_enthalpy_hartree,0.9755151202693957,0.9350263136137175,0.2911399895128413,0
5,Ar1_LUMO|Ar2_v_C=O|Ar2_NBO_=O|Ar2_I_C=O|sum_enthalpy_hartree,0.9844554105068718,0.9350003416613445,0.23197570498325956,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Ar1_I_C=O|sum_enthalpy_hartree,0.9870765145599305,0.9348504484960696,0.2115157460160384,0
5,Ar1_LUMO|Ar2_v_C=O|Ar2_NBO_-O|Ar2_I_C=O|sum_enthalpy_hartree,0.9860742002665126,0.9348163132742884,0.21956491658979319,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9879501357856787,0.9345879111366858,0.2042414810044162,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9882022691803454,0.934485130545427,0.2020933932358457,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|ar2_enthalpy_hartree,0.972627218361629,0.934427204385721,0.3078309913340036,0
4,Ar1_LUMO|Ar2_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9828989403982717,0.9340872509990062,0.24331247967268785,0
4,Ar2_LUMO|Ar1_v_C=O|Entry|sum_enthalpy_hartree,0.9721429687360278,0.9338951579052495,0.3105419603732714,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar1_I_C=O,0.9699891749583269,0.9335314210462567,0.3223234047782992,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|ar2_enthalpy_hartree,0.9725235139936601,0.9334832191196197,0.3084135634623815,0
5,Ar1_v_C=O|Ar2_NBO_-O|Ar2_NBO_C2|ar2_enthalpy_hartree|Ar1_I_C=O,0.9755081317303663,0.9333535285990756,0.2911815355208164,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O,0.9724331671126893,0.9333476061067973,0.30892020276923715,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Entry|Ar2_I_C=O,0.9759013996142315,0.933180793273669,0.2888343124232064,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_HOMO|Ar1_NBO_C2|ar2_enthalpy_hartree,0.9792092738138384,0.9329908339330538,0.2682796331859908,0
5,Ar2_LUMO|Ar1_HOMO|Ar2_NBO_C2|Entry|Ar2_I_C=O,0.9756123603069816,0.932783746059436,0.29056129302628037,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Entry|ar2_enthalpy_hartree,0.9803289045947966,0.9327661104615498,0.26095591591490497,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar2_I_C=O,0.9691082881862118,0.9327510830575036,0.3270196593551835,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Entry|Ar1_I_C=O,0.9748987067403595,0.9327291973070851,0.2947819743446951,0
5,Ar1_LUMO|Ar2_v_C=O|Ar2_NBO_=O|Entry|ar2_enthalpy_hartree,0.9762847344732544,0.9326514069705643,0.28652786929377955,0
5,Ar1_v_C=O|Ar2_NBO_-O|Ar1_NBO_C2|ar2_enthalpy_hartree|Ar1_I_C=O,0.9748602857577232,0.9323661500840587,0.29500749026504186,0
4,Ar2_LUMO|Ar1_v_C=O|Entry|ar2_enthalpy_hartree,0.9744124652056007,0.9323590350840144,0.29762341637784756,0
5,Ar1_LUMO|Ar2_v_C=O|Ar2_NBO_C2|Ar2_I_C=O|sum_enthalpy_hartree,0.9839437310035567,0.9323368708851045,0.23576275194656487,0
3,Ar2_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree,0.969788145475086,0.932173381233247,0.3234011551969047,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Entry|Ar1_I_C=O,0.975587216550838,0.9318552346290111,0.2907110393789543,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9763030611821255,0.931742494553383,0.28641713623619547,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Entry|ar2_enthalpy_hartree,0.9770315323724417,0.9316756827629085,0.28198037598504705,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar1_NBO_-O|Ar1_I_C=O,0.9748898260911288,0.9314720950115111,0.2948341155587583,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_NBO_C2|Ar1_I_C=O,0.9705338942689484,0.9314168582866631,0.31938480171372124,0
5,Ar1_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O|sum_enthalpy_hartree,0.9858458025036619,0.931152550053775,0.22135814158477882,0
3,Ar2_LUMO|Ar1_v_C=O|sum_enthalpy_hartree,0.9667628654421945,0.931104916961178,0.3392068876697701,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_HOMO|Ar2_NBO_C2|ar2_enthalpy_hartree,0.9751096686019528,0.9310827845188577,0.29354062457768393,0
5,Ar2_LUMO|Ar2_v_C=O|Ar1_NBO_-O|Ar2_I_C=O|Ar1_I_C=O,0.9734251594257375,0.9310032486509097,0.30331103316051067,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_=O|Ar1_I_C=O,0.977381843110573,0.9309434389789277,0.27982175788390345,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|Entry|sum_enthalpy_hartree,0.9730720666513807,0.9305656865692928,0.30531939019501286,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|sum_enthalpy_hartree,0.9727666414783578,0.9304868921285223,0.30704602274645654,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|sum_enthalpy_hartree,0.9733706657716976,0.9303580167849916,0.30362185462902797,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar2_NBO_-O|Ar2_I_C=O,0.9731641539679627,0.9302953683310554,0.3047968821777171,0
5,prod_homo_hartree|sum_homo_hartree|Ar2_v_C=O|Ar2_I_C=O|Ar1_I_C=O,0.9840260779769274,0.930240159730128,0.23515740255172163,0
5,prod_homo_hartree|Ar1_v_C=O|Ar2_v_C=O|Ar2_HOMO|Ar2_NBO_C2,0.9818589170799927,0.9302268068644364,0.2506019688388423,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9860950605106008,0.9301705920799536,0.2194004055974713,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar1_NBO_-O|Ar2_I_C=O,0.9727955233604648,0.9301529455722028,0.30688316329798065,0
5,Ar2_LUMO|Ar2_v_C=O|Entry|Ar2_I_C=O|Ar1_I_C=O,0.9764071649463271,0.9300743143250672,0.2857873097006875,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|Entry|Ar1_I_C=O,0.9776253731485204,0.9300598332689629,0.2783112584340356,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_-O|Ar1_NBO_C2,0.9710901598774002,0.9299974994049164,0.3163557404920135,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Entry|Ar2_I_C=O,0.9736026366521874,0.9299682553821594,0.30229652137167407,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|ar2_enthalpy_hartree,0.9739904436766583,0.9298659126588827,0.30006776702193333,0
5,Ar1_LUMO|Ar1_v_C=O|Ar1_NBO_-O|Ar2_NBO_-O|Ar2_I_C=O,0.9734000009899445,0.9297991668949408,0.30345457166936285,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar1_NBO_C2|Ar1_I_C=O,0.9725878773243176,0.9294634056907572,0.3080521241812168,0
5,Ar1_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O,0.9721425873486855,0.9292288264993612,0.3105440861627429,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_NBO_-O|Ar1_I_C=O,0.9737301282043578,0.9285705805512302,0.3015656358761901,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|Entry|Ar1_I_C=O,0.9773623115532099,0.9284555519457744,0.27994254967456356,0
5,Ar1_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9878204199450884,0.9282492192335418,0.20533786003431148,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar1_NBO_C2|Ar2_I_C=O,0.970317966772633,0.9280248454140365,0.32055289090964073,0
4,Ar2_LUMO|Ar2_v_C=O|Ar2_I_C=O|Ar1_I_C=O,0.9696628524384179,0.9280093935071743,0.3240710576209619,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_NBO_C2|Entry|Ar1_I_C=O,0.9706054265810798,0.9278132537836963,0.3189968947417825,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O,0.9727824946399839,0.9277621272300766,0.30695664047617394,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Ar1_I_C=O,0.9677684848617062,0.9276867403322796,0.33403596972972116,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree|sum_enthalpy_hartree,0.9844024668744217,0.9276382613970314,0.23237041455953253,0
