category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_LUMO|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_lumo_hartree|ar1_bond_length_c_e|ar1_nbo_q_a,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_lumo_hartree|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_Ar_LUMO|ar1_bond_length_c_e|ar1_nbo_q_a,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_Ar_LUMO|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_lumo_hartree|ar1_nbo_q_a,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_lumo_hartree|ar1_Ar_NBO_OH,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_Ar_LUMO|ar1_nbo_q_a,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_Ar_LUMO|ar1_Ar_NBO_OH,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_a|ar2_lumo_hartree|ar1_nbo_q_a,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_a|ar2_lumo_hartree|ar1_Ar_NBO_OH,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_a|ar2_Ar_LUMO|ar1_nbo_q_a,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_a|ar2_Ar_LUMO|ar1_Ar_NBO_OH,0.7155409741115764,0.48204614824319136,2.362820191237486,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.7187191308113265,0.48176913683347355,2.34958365255474,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_sterimol_B5,0.7187191308113265,0.48176913683347355,2.34958365255474,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_homo_hartree|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.7187191308113265,0.48176913683347355,2.34958365255474,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_homo_hartree|ar1_bond_length_c_a|ar2_sterimol_B5,0.7187191308113265,0.48176913683347355,2.34958365255474,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_gap_hartree|ar1_bond_length_c_e|ar1_nbo_q_a,0.7108078175054899,0.48085906793432487,2.382396753501137,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_gap_hartree|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7108078175054899,0.48085906793432487,2.382396753501137,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_gap_hartree|ar1_bond_length_c_e|ar1_nbo_q_a,0.7108078175054899,0.48085906793432487,2.382396753501137,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_gap_hartree|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7108078175054899,0.48085906793432487,2.382396753501137,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
