category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7254506825754246,-0.10794203805356473,2.3212985404549364,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7254506825754246,-0.10794203805356473,2.3212985404549364,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_lumo_hartree|ar1_q_a|ar2_Ar_Ster_B5,0.7205591281039538,-0.11133246267092756,2.3418861491946434,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_lumo_hartree|ar1_q_a|ar2_sterimol_B5,0.7205591281039538,-0.11133246267092756,2.3418861491946434,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_LUMO|ar1_q_a|ar2_Ar_Ster_B5,0.7205591281039538,-0.11133246267092756,2.3418861491946434,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_LUMO|ar1_q_a|ar2_sterimol_B5,0.7205591281039538,-0.11133246267092756,2.3418861491946434,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709666904668702,-0.11364243194596368,2.1201673319943493,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709666904668702,-0.11364243194596368,2.1201673319943493,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709666904668702,-0.11364243194596368,2.1201673319943493,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709666904668702,-0.11364243194596368,2.1201673319943493,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709842111398316,-0.11366818030313364,2.1200862357796395,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709842111398316,-0.11366818030313364,2.1200862357796395,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709842111398316,-0.11366818030313364,2.1200862357796395,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709842111398316,-0.11366818030313364,2.1200862357796395,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709859384756752,-0.11367209999945471,2.12007824046222,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709859384756752,-0.11367209999945471,2.12007824046222,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_gap_hartree|ar1_q_a|ar1_nbo_q_a,0.7709859384756752,-0.11367209999945471,2.12007824046222,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_gap_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7709859384756752,-0.11367209999945471,2.12007824046222,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_scf_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_scf_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710869118118444,-0.11455144115085125,2.119610812888305,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_gibbs_free_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_gibbs_free_energy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710799635051593,-0.11457322312983664,2.119642981416413,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
